,InvoiceDate,InvoiceNo,StockCode,Description,Quantity,InvoiceDate.1,UnitPrice,CustomerID,Country,Estore_id
0,2010-12-09 15:43:00,C538124,22699,ROSES REGENCY TEACUP AND SAUCER ,-1.0,2010-12-09 15:43:00,2.95,15329.0,United Kingdom,20
72,2011-05-17 15:24:00,C553536,,,-2.0,2011-05-17 15:24:00,8.15,14051.0,United Kingdom,15
175,2011-02-22 14:56:00,C544665,,,-2.0,2011-02-22 14:56:00,2.95,12852.0,United Kingdom,11
271,2010-12-01 10:24:00,C536391,21980,,1.0,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,17
332,2011-03-14 12:19:00,C546511,22801,ANTIQUE GLASS PEDESTAL BOWL,-1.0,2011-03-14 12:19:00,3.75,12921.0,United Kingdom,3
426,2010-12-09 15:13:00,C538103,,,-2.0,2010-12-09 15:13:00,8.5,17442.0,United Kingdom,23
433,2011-05-23 17:08:00,C554330,22423,REGENCY CAKESTAND 3 TIER,-1.0,2011-05-23 17:08:00,12.75,12749.0,United Kingdom,8
443,2011-01-19 12:47:00,C541573,22778,,1.0,2011-01-19 12:47:00,3.39,15311.0,United Kingdom,24
458,2011-06-08 12:56:00,556046,21890,missing,-140.0,2011-06-08 12:56:00,0.0,,United Kingdom,25
590,2011-08-02 11:58:00,C562051,22423,REGENCY CAKESTAND 3 TIER,-1.0,2011-08-02 11:58:00,12.75,15602.0,United Kingdom,17
621,2010-12-08 16:15:00,C537860,21244,BLUE POLKADOT PLATE ,-8.0,2010-12-08 16:15:00,1.69,16252.0,United Kingdom,23
852,2011-01-25 17:21:00,C542138,20975,12 PENCILS SMALL TUBE RED RETROSPOT,-48.0,2011-01-25 17:21:00,0.65,17368.0,United Kingdom,10
979,2011-03-17 18:29:00,C546901,,RED RETROSPOT SMALL MILK JUG,-3.0,2011-03-17 18:29:00,2.55,14112.0,United Kingdom,21
1099,2011-05-10 11:21:00,C552556,23230,WRAP ALPHABET DESIGN,-25.0,2011-05-10 11:21:00,0.42,17504.0,United Kingdom,8
1137,2011-03-20 16:14:00,C547091,21316,SMALL CHUNKY GLASS ROMAN  BOWL,-1.0,2011-03-20 16:14:00,2.95,,United Kingdom,21
1218,2011-01-06 17:38:00,C540382,84949,SILVER HANGING T-LIGHT HOLDER,-1.0,2011-01-06 17:38:00,1.65,12957.0,United Kingdom,11
1258,2011-03-25 13:41:00,C547807,85194S,,-4.0,2011-03-25 13:41:00,0.65,14194.0,United Kingdom,15
1268,2011-03-17 14:24:00,C546858,22839,,1.0,2011-03-17 14:24:00,14.95,14081.0,United Kingdom,10
1322,2011-01-12 12:49:00,C540949,22962,JAM JAR WITH PINK LID,-2.0,2011-01-12 12:49:00,0.85,13093.0,United Kingdom,20
1349,2011-04-08 17:03:00,C549530,,,-4.0,2011-04-08 17:03:00,1.45,13863.0,United Kingdom,7
1428,2011-11-13 11:38:00,C575940,23266,SET OF 3 WOODEN STOCKING DECORATION,1.0,2011-11-13 11:38:00,1.25,17838.0,United Kingdom,30
1521,2011-10-10 17:01:00,C570483,,,-2.0,2011-10-10 17:01:00,3.75,13078.0,United Kingdom,5
1541,2011-12-01 09:19:00,C579926,85099C,,-1.0,2011-12-01 09:19:00,2.08,14389.0,United Kingdom,10
1684,2011-12-01 10:41:00,C579945,22197,POPCORN HOLDER,-1.0,2011-12-01 10:41:00,0.85,15993.0,United Kingdom,1
1879,2011-07-01 13:22:00,C558716,,,-12.0,2011-07-01 13:22:00,1.95,17888.0,United Kingdom,32
2096,2011-07-21 12:04:00,560831,81950V,,-1.0,2011-07-21 12:04:00,0.0,,United Kingdom,1
2127,2010-12-06 10:45:00,C537251,,,-11.0,2010-12-06 10:45:00,0.42,,United Kingdom,27
2217,2011-11-22 12:40:00,C578007,,,-1.0,2011-11-22 12:40:00,0.39,16474.0,United Kingdom,23
2268,2011-07-04 16:09:00,C558903,,MINI PAINT SET VINTAGE ,-1.0,2011-07-04 16:09:00,0.65,13115.0,United Kingdom,21
2312,2011-11-21 11:47:00,C577692,22798,ANTIQUE GLASS DRESSING TABLE POT,-2.0,2011-11-21 11:47:00,2.95,14426.0,United Kingdom,13
2360,2011-10-24 12:06:00,C572440,,,-1.0,2011-10-24 12:06:00,4.95,17811.0,United Kingdom,2
2381,2011-09-22 15:17:00,C567885,,ROSES REGENCY TEACUP AND SAUCER ,1.0,2011-09-22 15:17:00,2.95,12879.0,United Kingdom,17
2437,2010-12-03 10:11:00,C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4.0,2010-12-03 10:11:00,7.95,18225.0,United Kingdom,23
2444,2011-04-18 13:59:00,C550475,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,-1.0,2011-04-18 13:59:00,1.25,13798.0,United Kingdom,24
2452,2011-02-18 15:04:00,C544415,22625,,-1.0,2011-02-18 15:04:00,8.5,16133.0,United Kingdom,3
2480,2011-11-14 15:40:00,C576348,,,-1.0,2011-11-14 15:40:00,4.95,13267.0,United Kingdom,19
2488,2011-11-24 11:16:00,C578371,,PLASTERS IN TIN SPACEBOY,-1.0,2011-11-24 11:16:00,1.65,14410.0,United Kingdom,10
